,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category
GO:0002367,GO:0002367,cytokine production involved in immune response,28/2052,48/6295,0.000204679815457891,0.0019595498461464,0.00142327681522623,IL18/TNFRSF14/TLR2/FCER1G/LILRB1/IL10/TLR4/CD36/NOD2/GAS6/CD74/NLRP3/SASH3/CD226/IL18R1/JAK3/TGFB3/ARG1/TBX21/BST2/APOA1/IL6/BCL6/PRKCZ/TGFB1/CLC/CD96/APOA2,28,BP
GO:0051051,GO:0051051,negative regulation of transport,90/2052,202/6295,0.000207101587909862,0.00197817723624247,0.00143680641872371,SPX/TLR8/FCGR2B/PDE2A/C5AR2/CD84/APOD/ABCC8/CD22/HAMP/ADTRP/TLR2/ADRA2A/LILRB1/MIR30C2/CD300LF/RGCC/EDN1/MCTP1/SCAMP5/IL33/TLR6/IL10/LILRB2/ICAM1/SYT11/CD36/LRRK2/KCNAB1/MMP9/SRGN/KCNH2/CD200R1/GAS6/LGALS9/CD74/PTGER4/PRKCB/CD34/LRRTM2/OSM/CLIC2/EPHA3/TMSB4X/NLRP3/P2RY12/HECW2/SYTL4/CD300A/ENPP1/P2RY1/RRAD/ADRA2B/IRS1/RHBDF2/HTR1B/FOXF1/BST2/STC1/APOA1/THBS1/PRRT2/ANXA4/EPO/CD200/CALM1/CX3CL1/CIDEA/SLN/PKIA/LMAN1/TRIM9/SRCIN1/RAB11FIP5/TGFB1/NOS3/CRH/MRLN/ITGB3/MTNR1B/REM2/NOV/GEM/WNK4/DRD2/INHBA/CARD17/INHA/APOA2/LEP,90,BP
GO:0007565,GO:0007565,female pregnancy,43/2052,83/6295,0.000207736577728001,0.0019796914689446,0.00143790624902506,IDO1/ABCC8/SPP1/MMP9/LGALS9/IGFBP2/HAVCR2/TAC3/MMP7/IGFBP5/RECK/IGFBP7/TGFB3/ADRA2B/ARG1/RAMP2/CD38/PGR/STC1/WNT4/ANGPT2/LNPEP/EPO/THBD/PSG2/MMP2/STS/PSG11/CALR/TGFB1/CRH/PSG4/RLN1/INSL4/PSG6/PSG1/PSG5/PSG9/SLC38A3/PSG3/KLF1/PSG7/LEP,43,BP
GO:0002711,GO:0002711,positive regulation of T cell mediated immunity,12/2052,15/6295,0.00022077525158538,0.00209434057154624,0.00152117915475916,HLA-F/IL18/HLA-A/IL12RB1/HLA-B/PTPRC/NLRP3/SASH3/IL18R1/CD1D/IL6/PRKCZ,12,BP
GO:0007202,GO:0007202,activation of phospholipase C activity,12/2052,15/6295,0.00022077525158538,0.00209434057154624,0.00152117915475916,C5AR1/HTR2B/GNA15/LPAR1/RASGRP4/PLCB2/P2RY12/NTRK2/EDNRA/S1PR4/NTF4/ANG,12,BP
GO:0097306,GO:0097306,cellular response to alcohol,21/2052,33/6295,0.000240966115561948,0.00224487491067241,0.00163051652894998,ADCY2/KCNMB1/KLF9/PTGFR/KLF2/AKR1C3/PTGER2/SPI1/CYBB/PTGER4/MAP4K1/PRKAA2/ADCY3/LRP6/AKR1C2/CCL7/GLRA2/LRP8/ADCY5/FDX1/INHBA,21,BP
GO:1903426,GO:1903426,regulation of reactive oxygen species biosynthetic process,21/2052,33/6295,0.000240966115561948,0.00224487491067241,0.00163051652894998,ADGRB1/KLF2/EDN1/HBB/TLR6/IL10/RGN/ICAM1/TLR4/CD36/ITGB2/AIF1/CD34/NOS1AP/WDR35/MMP8/CX3CR1/GLA/INSR/AGXT2/SLC30A10,21,BP
GO:0007610,GO:0007610,behavior,93/2052,211/6295,0.000260537542358033,0.00240165111722421,0.00174438754907386,SCN1A/HCRTR2/GAD1/IDO1/PENK/MUSK/GLRB/ARC/MAPT/GRID1/PREX2/SCN9A/TCF15/ABCC8/TLR2/MCOLN3/FGF13/HTR2B/GRIK2/HPGDS/GDNF/SELENOP/LILRB2/PTPRZ1/DDO/ATP8A1/LRRK2/KCNAB1/ATXN1/DRD1/ASTN1/AFF2/MYO5A/CUBN/APOE/DBH/SNCG/CCL3/PCDH17/MEF2C/ARRB2/HRH2/ADCY3/PTGDS/NPHP1/SLC4A10/JPH4/P2RY1/NTRK2/USP2/MMP17/DACH1/GATM/FOXB1/FOXP2/SEZ6L/SRPX2/HTR1B/GPR88/PLCB1/NR4A2/NRXN3/KCNJ10/APBA1/PER3/CX3CR1/PRKAR2B/DSCAM/THBS1/C1QL1/ADORA2A/GALR3/PRKCZ/INSR/JPH3/CRH/ADCY5/SHANK1/MTNR1B/TNR/HTR1D/ESPN/TACR3/NTF4/ITGA8/DRD2/ADGRL3/ASIC4/TMOD1/GDF15/LEP/RELN/P2RX2,93,BP
GO:0032102,GO:0032102,negative regulation of response to external stimulus,73/2052,159/6295,0.000271004387282146,0.00248570249262101,0.00180543645483423,SPX/FCGR2B/C5AR2/C5/WNT3A/APOD/ABCC8/ADTRP/MMP28/CCL2/EDN1/NBL1/IL10/MICB/RTN4RL1/SPP1/TNFAIP8L2/DRD1/SEMA3C/PTPRC/CD200R1/AIF1/SEMA3A/PTPRO/PLA2G5/SIGLEC11/APOE/PTGER4/SEMA6B/HAVCR2/CD34/KNG1/GPER1/PRKG1/NLRP3/SEMA3E/PROS1/ADAMTS18/WFDC1/RNF125/CXCL13/MIR126/HGF/VTN/SIGLEC10/SEMA3G/F12/CASK/FOXF1/APOA1/WNT4/SEMA6D/TEK/SLIT2/THBS1/ANGPT2/ADORA2A/THBD/CD200/CYP19A1/CX3CL1/SAA1/HTRA1/NT5E/GBA/NOS3/TNR/NOV/LTF/DRD2/TFPI/LEP/SMPDL3B,73,BP
GO:0048871,GO:0048871,multicellular organismal homeostasis,83/2052,185/6295,0.00027427189248166,0.00251013152700726,0.00182317995767428,ADCY2/ALDH1A1/RP1/PROM1/CYTL1/IL18/FLG/HAMP/G0S2/CMKLR1/SYK/TLR4/SPP1/CD36/ACADL/FABP4/NOD2/DRD1/CSF1/FOXC1/ELOVL3/NDN/CUBN/DBH/LYZ/BMP6/CD34/PRKACB/PLCL1/LDB2/PRKAA2/ADCY4/ADCY3/CST4/SASH3/DCSTAMP/TRPM2/PIP/HRNR/SIGLEC15/PDK4/PTH2R/IL18R1/IL15/RAC2/ADAMTS5/GATM/ZNF423/TNFRSF11A/CD38/ADRB2/PDGFC/SFTPD/CXCR4/NOVA2/IL6/PRKAR2B/TNS2/EDN2/WHRN/LNPEP/ACHE/ALOXE3/RHO/CIDEA/SLN/POTEE/SCNN1G/GBA/NOS3/SCNN1B/SNX10/ADCY5/TF/ITGB3/GATA1/WNT10B/MLXIPL/USH1G/LTF/DRD2/RHAG/LEP,83,BP
GO:0071248,GO:0071248,cellular response to metal ion,41/2052,79/6295,0.000275910172289874,0.00251404992514128,0.001826026001743,CYP1A2/AOC1/CYP1A1/CACNA1H/EDN1/SYT11/AKR1C3/LRRK2/MMP9/FABP4/ALOX5AP/SYT15/CYBB/BMP6/MEF2C/SYT3/PRKAA2/TRPM2/KCNK3/CHP2/ITPKB/RASAL1/SYT6/HVCN1/NFATC4/GLRA2/CEBPA/MYOG/ACER1/FSTL3/CALR/HSPA5/MT1F/TF/SYT12/MT1H/GUCA1A/TFR2/MT1G/NCF1/SLC30A10,41,BP
GO:0007520,GO:0007520,myoblast fusion,14/2052,19/6295,0.000286582773710744,0.00258859005384379,0.00188016661837232,MYMK/ADGRB1/CACNA1H/MYOD1/CD53/CDON/TNFSF14/NFATC2/CXCL10/ADAM12/MYOG/WNT1/RIPOR2/GDF15,14,BP
GO:1903428,GO:1903428,positive regulation of reactive oxygen species biosynthetic process,14/2052,19/6295,0.000286582773710744,0.00258859005384379,0.00188016661837232,ADGRB1/KLF2/EDN1/HBB/TLR6/ICAM1/TLR4/CD36/ITGB2/AIF1/NOS1AP/MMP8/INSR/AGXT2,14,BP
GO:0033002,GO:0033002,muscle cell proliferation,43/2052,84/6295,0.000293144737606639,0.00262503531197324,0.00190663784645697,IL18/APOD/HBEGF/EDN1/IGF1/IL10/HEY2/ERBB4/MMP9/WNT2/FOXC1/AIF1/FGF9/MEF2C/PTGIR/GPER1/PRKG1/MYB/IGFBP5/TBX2/PTAFR/IL15/MYOCD/TGFB3/MAPK11/PDGFRB/HTR1B/TBX5/NKX2-5/IL6/NOTCH3/THBS1/CX3CL1/MYOG/MMP2/TGM2/CDKN1A/EREG/CCL5/TERT/NOV/TENM4/ANG,43,BP
GO:0001912,GO:0001912,positive regulation of leukocyte mediated cytotoxicity,15/2052,21/6295,0.000300115666237015,0.00266448844704017,0.00193529378115502,SLAMF6/HLA-F/HLA-A/MICB/IL12RB1/HLA-B/PTPRC/RAET1E/CD226/RASGRP1/CADM1/ARG1/LAG3/CD1D/VAV1,15,BP
GO:0019369,GO:0019369,arachidonic acid metabolic process,15/2052,21/6295,0.000300115666237015,0.00266448844704017,0.00193529378115502,CYP1A2/CYP1A1/HPGDS/PLA2G4A/TBXAS1/AKR1C3/CYP2E1/PTGDS/ALOX15B/EPHX2/CYP2U1/DAGLA/CYP2C18/ALOXE3/CYP1B1,15,BP
GO:0051965,GO:0051965,positive regulation of synapse assembly,15/2052,21/6295,0.000300115666237015,0.00266448844704017,0.00193529378115502,CLSTN2/ADGRB1/LRTM2/LRRC4B/LRRTM2/ADGRB2/PTPRD/LRTM1/NTRK2/ASIC2/SLITRK4/SRPX2/TPBG/CBLN2/ADGRL3,15,BP
GO:0051093,GO:0051093,negative regulation of developmental process,158/2052,388/6295,0.000318290365853511,0.00279597562393518,0.0020307966594014,FGF10/TMEM176A/ZBTB16/TMEM176B/FCGR2B/MAPT/BMP5/PDE3B/CTLA4/IL18/WNT3A/ABCC8/TLR2/MAG/FGF13/ADGRB1/CRP/LILRB1/MIR30C2/LILRB4/KLF2/RGCC/RANBP3L/IGF1/DTX1/NFIB/RGN/RTN4RL1/C1QC/NEXMIF/MMRN2/HEY2/TLR4/SPP1/TBX18/DPYSL3/LRRK2/ERBB4/TRPC6/AREG/SRGN/SPOCK1/SEMA3C/COL4A3/FOXC1/GAS6/SEMA3A/FGF9/LPAR1/NR2F1/PTPRO/CD74/MAFB/APOE/SPRED1/LILRB3/CCL3/SEMA6B/GPR4/PRKACB/REG3G/GPER1/PRAME/PMP22/LDLRAD4/NRARP/NKD1/ADGRB2/LEF1/SEMA3E/EFNB2/P2RY12/TBXA2R/NFATC2/STAB1/PLPP7/TOB1/FBN1/ENPP1/TRIB2/CXCL10/PTPRG/IGFBP5/ARHGAP4/GPR68/TBX2/JAK3/MYOCD/SEMA3G/PRDM6/DAAM2/MAPK11/CNTN4/TBX21/TMEM178A/CD38/JAG1/WNT9B/ADRB2/TBX5/DCN/RARB/HHEX/PRICKLE1/HLX/CCND1/ZEB1/ITPKB/DLL4/WNT4/NFATC4/PF4/SEMA6D/NKX2-5/CX3CR1/TEK/SLIT2/IL6/MIR483/NOTCH3/THBS1/HDAC7/ID4/ECSCR/ID3/ANGPT2/HIST1H4I/PAEP/CX3CL1/BCL6/NPPB/FSTL3/HIST1H4H/DLX2/CALR/TGFB1/NOS3/WNT1/ITGB3/MIR320A/EREG/TNR/TERT/NOV/GATA1/WNT10B/BHLHA15/TRPC5/LTF/PAX2/INHBA/ACP4/GDF15/SPDEF/INHA/LEP/HMGA2/SLC30A10,158,BP
GO:0050764,GO:0050764,regulation of phagocytosis,24/2052,40/6295,0.000322412993359458,0.00282063873473274,0.00204871017859998,C4BPB/FCGR2B/TLR2/CCL2/FCER1G/C2/CD300LF/SYK/SYT11/CD36/ITGAM/NCKAP1L/PTPRC/HCK/DOCK2/GAS6/CAMK1D/CD300A/SFTPD/FGR/C3/SCARB1/CALR/TGFB1,24,BP
GO:0033674,GO:0033674,positive regulation of kinase activity,108/2052,252/6295,0.000322455691696282,0.00282063873473274,0.00204871017859998,FGF10/TGFA/TNFAIP8L3/MAPT/C5/IL18/WNT3A/C5AR1/ADRA2A/PIK3R6/AGAP2/FGF13/PIK3CG/TCIM/HTR2B/RGCC/EDN1/IGF1/TLR6/FAM20A/FPR1/SYK/KITLG/TLR4/LRRK2/CCNYL2/MAP3K21/AFAP1L2/LCP2/NOD2/NCKAP1L/CSF1/PTPRC/SAMD5/CD4/PIK3R5/GAS6/LPAR1/RIPK3/CD74/MLKL/MAP4K1/ACE/CHI3L1/CASS4/PRKACB/FPR2/P2RY12/CD300A/CEMIP/FGD2/ZEB2/HGF/SHC2/PDE5A/CD40/TNFRSF10A/NTRK2/RASGRP1/ALKAL2/TGFB3/ADRA2B/IRS1/TNFSF15/MAPK11/TNFRSF11A/PDGFRB/ADRB2/PDE6G/PDGFC/CCND1/FGR/CXCR4/C1QTNF2/TEK/PRKAR2B/THBS1/IRAK2/LPAR3/EPO/MUC20/CALM1/MAP3K9/RALB/SAA1/FLT1/PRKCZ/TDGF1/RIPK2/SRCIN1/INSR/TGFB1/LRP8/CDKN1A/NEURL1/ITGB3/EREG/CCL5/LTF/DRD2/TCL1B/GPRC5C/CCR7/GDF15/ANG/NCF1/LEP/RELN,108,BP
GO:0010817,GO:0010817,regulation of hormone levels,88/2052,199/6295,0.000330909793107255,0.00288850880327867,0.00209800614073087,ALDH1A1/SLC30A8/SLC16A10/HSD11B1/BMP5/DOC2B/ABCC8/HSD3B2/ADRA2A/CYP1A1/CACNA1H/MAFA/HSD17B2/EDN1/CTSG/CYP2R1/DDO/FOXD1/AKR1C3/SPP1/SULT1A1/DHRS2/PTPRN2/MYO5A/DKK3/TTR/ACE/BMP6/CPQ/GPER1/OSM/CACNA2D2/GPR27/FFAR1/SYTL4/MYB/RIMS2/P2RY1/CACNA1C/GPR68/AKR1C1/AKR1C2/ADRA2B/IRS1/GCK/BCO2/SLC44A4/CD38/AGTR1/SLC16A2/APOA1/EPHA5/WNT4/IL6/NNAT/FOXL2/ACHE/ADORA2A/CYP19A1/FAM3B/ECE2/PTPRN/CRYM/RAB11FIP5/SCARB1/CYP11A1/KISS1/HSD3B1/CRH/ADCY5/FDX1/CYP1B1/MTNR1B/CYP26A1/CCL5/CYP26C1/TFR2/NOV/ANO1/DRD2/INHBA/AKR1D1/LHB/DHRS9/CGB3/INHA/CGA/LEP,88,BP
GO:0071346,GO:0071346,cellular response to interferon-gamma,42/2052,82/6295,0.000338125446971,0.00294530656638261,0.00213925997233997,CCL13/HLA-F/CCL8/TLR2/CCL2/CCL4/CCL18/EDN1/HLA-A/IL12RB1/FCGR1A/HLA-B/HLA-DQA1/ICAM1/TLR4/CCL3L3/CCL3L1/CD44/HCK/HLA-DPA1/AIF1/FCGR1B/LGALS9/CCL3/WAS/CASP1/HLA-DPB1/HLA-DRA/MRC1/HLA-DRB1/CIITA/GBP5/HLA-DRB5/PTAFR/ARG1/CDC42EP2/CCL4L1/CCL7/HLA-DQB1/CX3CL1/TDGF1/CCL5,42,BP
GO:0046683,GO:0046683,response to organophosphorus,30/2052,54/6295,0.000398820171360587,0.00345228710834008,0.00250749436686579,PENK/PDE2A/P2RX5/PDE3A/PIK3CG/AREG/KCNQ1/LPAR1/PLA2G5/P2RY12/SLC8A1/P2RY1/IGFBP5/AKR1C1/PTAFR/STC1/HCN4/TEK/THBD/CDO1/HSP90B1/PTPRN/HCN2/SDC1/HSPA5/FDX1/WNT10B/SELL/P2RX2/PKLR,30,BP
GO:1904950,GO:1904950,negative regulation of establishment of protein localization,43/2052,85/6295,0.000408709087247605,0.00352320800314066,0.00255900623092134,TLR8/FCGR2B/MAPT/PDE2A/C5AR2/APOD/ABCC8/CD22/ADTRP/ADRA2A/LILRB1/MIR30C2/RGCC/IL33/TLR6/IL10/SYT11/CD36/LRRK2/SRGN/CD200R1/GAS6/PTGER4/CD34/TMSB4X/NLRP3/SYTL4/IRS1/RHBDF2/APOA1/ANXA4/CD200/CX3CL1/CIDEA/PKIA/LMAN1/SRCIN1/RAB11FIP5/MTNR1B/NOV/DRD2/CARD17/APOA2,43,BP
GO:0046677,GO:0046677,response to antibiotic,55/2052,115/6295,0.000437360741038964,0.00372159603544787,0.00270310110421915,ADCY2/TRPA1/PENK/AOC1/KCNMB1/HAMP/CYP1A1/KLF2/EDN1/PLA2G4A/HBB/IL10/ICAM1/LRRK2/TRPC6/AREG/HYAL1/CD14/AOC3/SPI1/CYBB/DBH/CYP2E1/MEF2C/TXNIP/ADCY3/TBXA2R/TRPM2/CIITA/MYB/SLC8A1/HGF/ARG1/PDGFRB/HTR1B/ADH6/CCND1/RGS19/CCL7/CRIP1/IL6/GLRA2/ID3/CDO1/CRH/ADCY5/SDC1/HSPA5/FDX1/CYP1B1/CLDN3/PAX2/DRD2/LEP/ALPL,55,BP
GO:1900048,GO:1900048,positive regulation of hemostasis,10/2052,12/6295,0.000437992890814443,0.00372159603544787,0.00270310110421915,PDPN/TLR4/CD36/PLEK/TBXA2R/F12/ENPP4/F3/THBS1/THBD,10,BP
GO:0010038,GO:0010038,response to metal ion,69/2052,151/6295,0.000466636340860421,0.00393280729467556,0.00285650985213372,CYP1A2/PENK/SLC30A8/MAPT/KCNMA1/ABCC8/AOC1/C1QA/KCNMB1/HAMP/CYP1A1/CACNA1H/SLC30A4/EDN1/CYP2R1/ICAM1/SYT11/AKR1C3/LRRK2/MMP9/FABP4/ALOX5AP/CD14/RYR2/SYT15/CYBB/SOD3/BMP6/IGFBP2/MEF2C/SYT3/PRKAA2/TXNIP/TRPM2/KCNK3/HAAO/CYBRD1/CHP2/ARG1/CCND1/ITPKB/RASAL1/CRIP1/SYT6/HVCN1/NFATC4/GLRA2/THBS1/CEBPA/CALM1/MYOG/ACER1/FSTL3/CALR/SDC1/HSPA5/MT1F/TF/SYT12/MT1H/GUCA1A/TFR2/TERT/SLC30A2/DRD2/MT1G/NCF1/SLC30A10/PKLR,69,BP
GO:0045137,GO:0045137,development of primary sexual characteristics,42/2052,83/6295,0.000471694532536996,0.00395937531856812,0.0028758069639204,KITLG/ICAM1/AKR1C3/TCF21/TEX11/FOXC1/SLIT3/SEMA3A/FGF9/PCYT1B/ARRB2/MAMLD1/BIK/DACH1/PDGFRB/PGR/CCND1/HOXA11/GATA4/WNT4/LRRC6/SLIT2/BMPR1B/AMHR2/FOXL2/CYP19A1/PTPRN/FSTL3/INSR/NOS3/BASP1/SDC1/HSPA5/MGST1/EREG/GATA1/FSHR/INHBA/LHB/INHA/ANG/LEP,42,BP
GO:0051224,GO:0051224,negative regulation of protein transport,42/2052,83/6295,0.000471694532536996,0.00395937531856812,0.0028758069639204,TLR8/FCGR2B/PDE2A/C5AR2/APOD/ABCC8/CD22/ADTRP/ADRA2A/LILRB1/MIR30C2/RGCC/IL33/TLR6/IL10/SYT11/CD36/LRRK2/SRGN/CD200R1/GAS6/PTGER4/CD34/TMSB4X/NLRP3/SYTL4/IRS1/RHBDF2/APOA1/ANXA4/CD200/CX3CL1/CIDEA/PKIA/LMAN1/SRCIN1/RAB11FIP5/MTNR1B/NOV/DRD2/CARD17/APOA2,42,BP
GO:0042063,GO:0042063,gliogenesis,54/2052,113/6295,0.000503665375352014,0.00421072361084028,0.00305836838109547,FGF10/PENK/ASPA/MAPT/PRDM8/ABCC8/TLR2/CCL2/MAG/DTX1/IL33/PTPRZ1/NFIB/MATN2/TLR4/AREG/DRD1/CSF1/NDN/LPAR1/NRROS/MYOC/CCL3/FPR2/LEF1/P2RY12/GPR183/MYB/LAMA2/VTN/P2RY1/APCDD1/NTRK2/LAMC3/METRN/DAAM2/IL6ST/GJC2/CXCR4/KCNJ10/CX3CR1/IL6/ARHGEF10/ID4/ADORA2A/KLF15/CX3CL1/DLX2/TGFB1/TERT/PAX2/TENM4/CDH2/RELN,54,BP
GO:0034308,GO:0034308,primary alcohol metabolic process,19/2052,30/6295,0.00052251644154574,0.00433344473976557,0.00314750422925021,ALDH1A1/BMP5/CACNA1H/IGF1/AKR1C3/SULT1A1/ALDH3B1/DKK3/TTR/BMP6/SULT1C4/AKR1C1/AKR1C2/ADH6/WNT4/GDPD1/CYP1B1/SULT2A1/DHRS9,19,BP
GO:0008406,GO:0008406,gonad development,41/2052,81/6295,0.000544456806648159,0.00448852784052203,0.00326014549845504,KITLG/ICAM1/AKR1C3/TCF21/TEX11/FOXC1/SLIT3/SEMA3A/FGF9/PCYT1B/ARRB2/MAMLD1/BIK/PDGFRB/PGR/CCND1/HOXA11/GATA4/WNT4/LRRC6/SLIT2/BMPR1B/AMHR2/FOXL2/CYP19A1/PTPRN/FSTL3/INSR/NOS3/BASP1/SDC1/HSPA5/MGST1/EREG/GATA1/FSHR/INHBA/LHB/INHA/ANG/LEP,41,BP
GO:0009595,GO:0009595,detection of biotic stimulus,11/2052,14/6295,0.000548706890663229,0.00451460817961528,0.00327908839089417,TLR2/TLR1/TLR6/TLR4/NOD2/NLRP3/TREM2/LY96/CD1D/SCARB1/LBP,11,BP
GO:0002228,GO:0002228,natural killer cell mediated immunity,18/2052,28/6295,0.000564174953377097,0.00462356396702532,0.00335822607979266,SLAMF6/IL18/PIK3R6/LILRB1/MICB/NCR1/LGALS9/HAVCR2/RAET1E/ARRB2/CD226/SLAMF7/RASGRP1/CADM1/LAG3/VAV1/CD96/LEP,18,BP
GO:0007548,GO:0007548,sex differentiation,49/2052,101/6295,0.000586367954223106,0.00479598198778938,0.00348345819469052,FGF10/BMP5/KITLG/ICAM1/AKR1C3/TCF21/TEX11/FOXC1/SLIT3/SEMA3A/FGF9/PCYT1B/BMP6/ARRB2/MAMLD1/LRP6/BIK/DACH1/FOXF2/PDGFRB/WNT9B/PGR/SYCP2/CCND1/HOXA11/GATA4/WNT4/LRRC6/SLIT2/BMPR1B/AMHR2/FOXL2/CYP19A1/PTPRN/FSTL3/INSR/NOS3/BASP1/SDC1/HSPA5/MGST1/EREG/GATA1/FSHR/INHBA/LHB/INHA/ANG/LEP,49,BP
GO:0061041,GO:0061041,regulation of wound healing,33/2052,62/6295,0.000593242959827566,0.00484268074279673,0.00351737682933643,PDPN/SPAAR/ABCC8/ADTRP/ADRA2A/FCER1G/HBEGF/MYOD1/EDN1/SYK/TLR4/CD36/PLEK/APOE/CD34/KNG1/REG3G/PRKG1/PROS1/TBXA2R/ADAMTS18/WFDC1/VTN/F12/CASK/SMOC2/ENPP4/F3/WNT4/THBS1/THBD/NOS3/TFPI,33,BP
GO:0099024,GO:0099024,plasma membrane invagination,17/2052,26/6295,0.000602879187954043,0.00489250591005674,0.00355356626616826,FCGR2B/FCER1G/ADGRB1/ARHGAP25/FCGR1A/CD36/ITGB2/ITGAM/NCKAP1L/AIF1/TREM2/MSR1/CD300A/SPIRE1/THBS1/C3/GULP1,17,BP
GO:0035690,GO:0035690,cellular response to drug,60/2052,129/6295,0.000613816335079599,0.00495756970583907,0.0036008239525342,ADCY2/PDE2A/AOC1/KCNMB1/KLF9/FOLR2/KLF2/EDN1/IL10/ICAM1/LRRK2/TRPC6/GNA15/NOD2/DRD1/RYR2/KCNH2/KCNQ1/GAS6/AIF1/SPI1/CYBB/MAP4K1/GUCY1B1/MEF2C/PRKAA2/PDE4B/ADCY3/P2RY12/TRPM2/AIM2/MYB/SLC8A1/HGF/P2RY1/ANKRD1/PTAFR/ARG1/WDR35/HTR1B/FBXO32/PLCB1/CCL7/CD69/PDE4A/SLIT2/IL6/GLRA2/ACER2/HSP90B1/RIPK2/TGFB1/CRH/ADCY5/HSPA5/CHRM4/FDX1/CYP1B1/PAX2/HMGA2,60,BP
GO:0006911,GO:0006911,phagocytosis, engulfment,16/2052,24/6295,0.000635867302314597,0.00500384212332794,0.00363443292610835,FCGR2B/FCER1G/ADGRB1/ARHGAP25/FCGR1A/CD36/ITGB2/ITGAM/NCKAP1L/AIF1/TREM2/MSR1/CD300A/THBS1/C3/GULP1,16,BP
GO:0008207,GO:0008207,C21-steroid hormone metabolic process,16/2052,24/6295,0.000635867302314597,0.00500384212332794,0.00363443292610835,BMP5/HSD3B2/CACNA1H/AKR1C3/DHRS2/DKK3/BMP6/AKR1C1/AKR1C2/WNT4/CYP11A1/HSD3B1/FDX1/AKR1D1/LHB/DHRS9,16,BP
GO:0045429,GO:0045429,positive regulation of nitric oxide biosynthetic process,13/2052,18/6295,0.000658148261217374,0.00514074647710899,0.00373387045408106,KLF2/EDN1/HBB/TLR6/ICAM1/TLR4/CD36/ITGB2/AIF1/NOS1AP/MMP8/INSR/AGXT2,13,BP
GO:0061844,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,15/2052,22/6295,0.000659450751455858,0.00514074647710899,0.00373387045408106,CCL13/CXCL1/PF4V1/RNASE6/CAMP/REG3G/MMP7/CXCL13/CXCL10/PPBP/PF4/HIST1H2BK/HIST1H2BG/LTF/HIST1H2BF,15,BP
GO:0018108,GO:0018108,peptidyl-tyrosine phosphorylation,84/2052,192/6295,0.000676709439582419,0.00524576067437491,0.00381014525389394,FGF10/IL12RB2/FGF7/TGFA/MUSK/IL18/TNFRSF14/WNT3A/ADRA2A/HBEGF/IGF1/SYK/KITLG/ICAM1/TNFSF18/PECAM1/CD36/ERBB4/AREG/AFAP1L2/ITGB2/CD44/PTPRC/HCK/CD4/GAS6/FGF9/CD74/ACE/SLA/CASS4/BMX/OSM/EPHA3/ARRB2/SAMSN1/EFNB2/TREM2/ZAP70/ENPP2/CD300A/HGF/VTN/CD40/PEAK1/NTRK2/BTC/JAK3/IL15/ALKAL2/IL6ST/CSHL1/PDGFRB/IL24/PDGFC/CSH1/FGR/LTK/EPHA5/PTK6/TEK/IL6/CNTRL/TNK1/EPO/SH3BP5/CBLB/FLT1/PRKCZ/TDGF1/RIPK2/SRCIN1/INSR/TGFB1/LRP8/NEURL1/ITGB3/EREG/CCL5/GATA1/SRMS/NCF1/LEP/RELN,84,BP
GO:0050804,GO:0050804,modulation of chemical synaptic transmission,79/2052,179/6295,0.00070510441165914,0.00544555544692143,0.00395526188265849,FAM107A/CELF4/ARC/MAPT/GRID1/RAPSN/WNT3A/CLSTN2/FGF14/ADGRB1/GRIK2/EDN1/DGKE/MCTP1/RIMS3/GDNF/LILRB2/SYT11/GRIN2C/LRRK2/DRD1/CUBN/APOE/SNCG/PRKCB/PLCB4/GUCY1B1/LRRTM2/PCDH17/MEF2C/PLCL1/GPER1/CACNA2D2/ARRB2/LRRC4/HRH2/GUCY1A1/RIMS2/JPH4/SCGN/LAMA2/P2RY1/NTRK2/NTNG1/CASK/CNTN4/NTNG2/CD38/HTR1B/ADRB2/PLCB1/SEPT5/KCNJ10/APBA1/NFATC4/CX3CR1/PRKAR2B/CDH11/PRRT2/SIPA1L1/ACHE/ADORA2A/CALM1/CX3CL1/GRID2IP/PRKCZ/KISS1/JPH3/CRH/LRP8/NEURL1/SYT12/SHANK1/TNR/NTF4/DRD2/ACP4/CDH2/RELN,79,BP
GO:0014074,GO:0014074,response to purine-containing compound,31/2052,58/6295,0.000785706126763502,0.00603439733216701,0.00438295450030346,PENK/PDE2A/P2RX5/PDE3A/PIK3CG/AREG/RYR2/KCNQ1/PLA2G5/P2RY12/TRPM2/SLC8A1/P2RY1/IGFBP5/PTAFR/STC1/HCN4/TEK/ADORA2A/THBD/CDO1/HSP90B1/PTPRN/HCN2/SDC1/HSPA5/FDX1/WNT10B/SELL/P2RX2/PKLR,31,BP
GO:1903317,GO:1903317,regulation of protein maturation,31/2052,58/6295,0.000785706126763502,0.00603439733216701,0.00438295450030346,CR1/CLEC3B/C4BPB/C5AR2/C5/CFI/C1QA/C5AR1/C7/C1QB/C2/C3AR1/C1R/A2M/C1QC/CFHR1/LRRK2/NKD2/PRKACB/PROS1/VTN/CPN2/SUSD4/C1S/F12/THBS1/C3/TFR2/CCBE1/C8G/ACP4,31,BP
