"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005244","GO:0005244","voltage-gated ion channel activity","49/1816","76/4998",4.83710473131123e-07,1.22610089493672e-05,9.85131169534781e-06,"SCN1A/LRRC38/KCNMA1/SCN1B/CACNA2D4/NALCN/KCNA4/ABCC8/CACNB4/SCN9A/SCN2A/CACNA1H/KCNJ5/KCNQ3/KCNJ16/SCN7A/KCNJ2/LRRC55/SCN11A/GRIN2C/KCNAB1/KCNIP3/CYBB/KCNQ1/GAS6/KCNAB2/KCNH2/SCN4B/KCNS2/KCNK17/CLIC2/KCNA3/CACNA2D2/KCNK3/CACNA1C/HTR1B/CACNB1/KCNQ4/KCNJ10/KCNIP4/CLCN4/CLIC3/CACNA1I/KCNJ6/HCN2/KCNA6/KCNH4/ANO1/KCNA7",49
"GO:0022832","GO:0022832","voltage-gated channel activity","49/1816","76/4998",4.83710473131123e-07,1.22610089493672e-05,9.85131169534781e-06,"SCN1A/LRRC38/KCNMA1/SCN1B/CACNA2D4/NALCN/KCNA4/ABCC8/CACNB4/SCN9A/SCN2A/CACNA1H/KCNJ5/KCNQ3/KCNJ16/SCN7A/KCNJ2/LRRC55/SCN11A/GRIN2C/KCNAB1/KCNIP3/CYBB/KCNQ1/GAS6/KCNAB2/KCNH2/SCN4B/KCNS2/KCNK17/CLIC2/KCNA3/CACNA2D2/KCNK3/CACNA1C/HTR1B/CACNB1/KCNQ4/KCNJ10/KCNIP4/CLCN4/CLIC3/CACNA1I/KCNJ6/HCN2/KCNA6/KCNH4/ANO1/KCNA7",49
"GO:0005126","GO:0005126","cytokine receptor binding","58/1816","96/4998",1.10880122184118e-06,2.69346296805588e-05,2.16410764789179e-05,"CCL13/LEFTY2/CCL8/BMP5/TNFSF13B/IL18/C5/CXCL16/CCL2/CCL18/TNFSF9/EDA/CD300LF/CCL3L1/CCL3L3/LEFTY1/CCL4/TNFSF8/CXCL1/IL12RB1/PF4V1/IL10/KITLG/TNFSF18/CSF1/VEGFC/CCL3/CCL4L1/SPRED1/BMP6/CKLF/OSM/TNFSF14/GDF7/TRAF1/GDF6/TGFB3/IL6ST/CSH1/TNFSF15/PPBP/IL15/TNFSF12/CSHL1/CCL28/LRG1/CXCL12/TGFB1/CX3CL1/ITGB3/CCL5/EBI3/ENG/IL27/INHBA/CCRL2/GDF15/INHA",58
"GO:0042379","GO:0042379","chemokine receptor binding","20/1816","24/4998",2.97688043587892e-06,6.74012304677144e-05,5.41546403505153e-05,"CCL13/CCL8/C5/CXCL16/CCL2/CCL18/CCL3L1/CCL3L3/CCL4/CXCL1/PF4V1/CCL3/CCL4L1/CKLF/PPBP/CCL28/CXCL12/CX3CL1/CCL5/CCRL2",20
"GO:0022857","GO:0022857","transmembrane transporter activity","175/1816","368/4998",3.00588677900613e-06,6.74012304677144e-05,5.41546403505153e-05,"SCN1A/ABCA6/MCOLN2/TRPA1/SV2B/LRRC38/C2orf83/SLC24A4/GRIA4/SLC16A10/GLRB/KCNMA1/GRID1/SLC30A8/SCN1B/SLC22A16/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CLCA2/CACNA1H/KCNMB1/ATP6V0D2/MCOLN3/KCNJ5/ABCA8/KCNQ3/KCNJ16/SLC30A4/ATP12A/GRIK2/ADAMTS8/SCN7A/PKD1L3/SLC5A9/SLC9A9/SLC17A4/ABCA9/KCNJ2/LRRC55/COX4I2/SCN11A/SLC25A48/RYR2/TRPC6/GRIN2C/ATP8A1/SLC16A14/KCNAB1/SLCO2B1/GABRA4/TTYH2/KCNIP3/CYBB/KCNQ1/GAS6/KCNAB2/KCNH2/BEST1/SLC7A7/SLC14A1/SCN4B/TRPM2/KCNS2/KCNK17/SIDT1/ABCC9/GJC1/NDUFA4L2/ABCC3/SLC37A2/PRF1/SLC1A7/CLIC2/GJA3/KCNA3/CACNA2D2/NIPAL2/SLC22A18/PLP2/KCNK3/JPH4/ABCB5/TRPM6/LRP6/FXYD2/ABCA3/PKD2L1/CACNA1C/APOL1/SLC38A6/SLC16A7/TMC8/SLC8A1/SLC6A16/SLC12A2/PPBP/SLC22A3/SLC16A2/HTR1B/CACNB1/SLC28A1/CNGB1/SLC44A4/GJC2/SLC2A6/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/ATP1B2/SLC6A6/SVOP/GABRA2/CALM1/EBP/CLIC3/SLC6A8/SLC19A2/CACNA1I/ABCG2/SLC7A2/RHD/SLC25A30/SLC2A12/MFSD4B/SCNN1G/KCNJ6/JPH3/SLC4A4/SLC35F2/SLC10A6/SLC6A19/SCNN1B/SLC7A5/HCN2/TUSC3/ABCC2/SLC16A3/SLC6A9/SLC27A6/KCNA6/SLC25A21/KCNN2/SLC9A2/SLC39A8/ABCB1/SLC6A13/ATP13A4/TF/TFR2/SLC4A1/KCNH4/ANO1/SLC30A2/SLC25A47/SLCO4C1/PIEZO2/SLC38A3/TRPC5/ATP2C2/ASIC4/ABCB11/CD320/KCNA7/RHAG/P2RX2/SLC30A10",175
"GO:0015318","GO:0015318","inorganic molecular entity transmembrane transporter activity","146/1816","299/4998",3.43718377940868e-06,7.42177090146393e-05,5.96314534829186e-05,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/GRIA4/SLC16A10/GLRB/KCNMA1/GRID1/SLC30A8/SCN1B/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CLCA2/CACNA1H/KCNMB1/ATP6V0D2/MCOLN3/KCNJ5/KCNQ3/KCNJ16/SLC30A4/ATP12A/GRIK2/ADAMTS8/SCN7A/PKD1L3/SLC5A9/SLC9A9/SLC17A4/KCNJ2/LRRC55/COX4I2/SCN11A/RYR2/TRPC6/GRIN2C/ATP8A1/SLC16A14/KCNAB1/SLCO2B1/GABRA4/TTYH2/KCNIP3/KCNQ1/GAS6/KCNAB2/KCNH2/BEST1/SLC7A7/SLC14A1/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/GJC1/NDUFA4L2/ABCC3/SLC37A2/SLC1A7/CLIC2/KCNA3/CACNA2D2/NIPAL2/SLC22A18/KCNK3/JPH4/TRPM6/FXYD2/PKD2L1/CACNA1C/APOL1/SLC38A6/SLC16A7/TMC8/SLC8A1/SLC6A16/SLC12A2/SLC22A3/SLC16A2/HTR1B/CACNB1/SLC28A1/CNGB1/SLC2A6/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/ATP1B2/SLC6A6/GABRA2/CALM1/CLIC3/SLC6A8/SLC19A2/CACNA1I/SLC7A2/SLC25A30/SLC2A12/SCNN1G/KCNJ6/JPH3/SLC4A4/SLC10A6/SLC6A19/SCNN1B/SLC7A5/HCN2/TUSC3/ABCC2/SLC16A3/SLC6A9/SLC27A6/KCNA6/SLC25A21/KCNN2/SLC9A2/SLC39A8/SLC6A13/ATP13A4/TF/TFR2/SLC4A1/KCNH4/ANO1/SLC30A2/PIEZO2/SLC38A3/TRPC5/ATP2C2/ASIC4/ABCB11/KCNA7/P2RX2/SLC30A10",146
"GO:0008329","GO:0008329","signaling pattern recognition receptor activity","12/1816","12/4998",5.17317583213937e-06,0.000102601086602675,8.24365505790203e-05,"TLR8/TLR2/TLR7/TLR4/CD36/CD14/MARCO/CLEC7A/PTAFR/LY96/SCARB1/DMBT1",12
"GO:0038187","GO:0038187","pattern recognition receptor activity","12/1816","12/4998",5.17317583213937e-06,0.000102601086602675,8.24365505790203e-05,"TLR8/TLR2/TLR7/TLR4/CD36/CD14/MARCO/CLEC7A/PTAFR/LY96/SCARB1/DMBT1",12
"GO:0008083","GO:0008083","growth factor activity","42/1816","66/4998",5.27964425056647e-06,0.000102601086602675,8.24365505790203e-05,"FGF10/LEFTY2/FGF7/TGFA/BMP5/FGF14/LEFTY1/HBEGF/FGF13/CXCL1/IGF1/IL10/GDNF/KITLG/ADA2/CSF1/AREG/VEGFC/BMP6/OSM/GMFG/GDF7/GDF6/KCNK3/HGF/TGFB3/JAG1/CSH1/PPBP/PDGFC/CSHL1/CXCL12/TGFB1/MANF/TDGF1/NOV/EREG/NTF4/INHBA/CD320/GDF15/INHA",42
"GO:0001664","GO:0001664","G protein-coupled receptor binding","52/1816","87/4998",6.24863160657403e-06,0.000117514587955892,9.44190514405923e-05,"WNT10A/CCL13/CCL8/WNT3A/C5/CXCL16/CCL2/CCL18/GNAL/WNT5B/ADRA2A/CCL3L1/CCL3L3/CCL4/CXCL1/EDN1/FPR1/PF4V1/MRAP/ADA2/GNA14/WNT2/GNA15/MARCO/MYOC/CCL3/ACE/CCL4L1/CKLF/UTS2B/ARRB2/BICD1/RSPO3/LRP6/P2RY1/AGTR1/PPBP/APLN/ASIP/RSPO4/ADORA2A/CCL28/CALM1/SAA1/BDKRB2/CXCL12/KISS1/CX3CL1/SHANK1/CCL5/WNT10B/CCRL2",52
"GO:0015075","GO:0015075","ion transmembrane transporter activity","154/1816","321/4998",6.63308694562553e-06,0.000118859666831695,9.54997774489559e-05,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/GRIA4/SLC16A10/GLRB/KCNMA1/GRID1/SLC30A8/SCN1B/SLC22A16/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CLCA2/CACNA1H/KCNMB1/ATP6V0D2/MCOLN3/KCNJ5/KCNQ3/KCNJ16/SLC30A4/ATP12A/GRIK2/ADAMTS8/SCN7A/PKD1L3/SLC5A9/SLC9A9/SLC17A4/KCNJ2/LRRC55/COX4I2/SCN11A/SLC25A48/RYR2/TRPC6/GRIN2C/ATP8A1/SLC16A14/KCNAB1/SLCO2B1/GABRA4/TTYH2/KCNIP3/CYBB/KCNQ1/GAS6/KCNAB2/KCNH2/BEST1/SLC7A7/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/GJC1/NDUFA4L2/ABCC3/SLC37A2/SLC1A7/CLIC2/KCNA3/CACNA2D2/NIPAL2/SLC22A18/PLP2/KCNK3/JPH4/TRPM6/FXYD2/PKD2L1/CACNA1C/APOL1/SLC38A6/SLC16A7/TMC8/SLC8A1/SLC6A16/SLC12A2/SLC22A3/SLC16A2/HTR1B/CACNB1/SLC28A1/CNGB1/SLC44A4/SLC2A6/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/ATP1B2/SLC6A6/GABRA2/CALM1/CLIC3/SLC6A8/SLC19A2/CACNA1I/SLC7A2/RHD/SLC25A30/SLC2A12/SCNN1G/KCNJ6/JPH3/SLC4A4/SLC10A6/SLC6A19/SCNN1B/SLC7A5/HCN2/TUSC3/ABCC2/SLC16A3/SLC6A9/SLC27A6/KCNA6/SLC25A21/KCNN2/SLC9A2/SLC39A8/SLC6A13/ATP13A4/TF/TFR2/SLC4A1/KCNH4/ANO1/SLC30A2/SLC25A47/SLCO4C1/PIEZO2/SLC38A3/TRPC5/ATP2C2/ASIC4/ABCB11/KCNA7/RHAG/P2RX2/SLC30A10",154
"GO:0008227","GO:0008227","G protein-coupled amine receptor activity","14/1816","15/4998",6.72790566971858e-06,0.000118859666831695,9.54997774489559e-05,"HTR1F/ADRA2A/HTR2B/HRH2/ADRA2B/ADRA1B/HTR1B/ADRB2/HTR7/ADRA1D/HTR4/CHRM4/HTR1D/DRD2",14
"GO:0005267","GO:0005267","potassium channel activity","31/1816","45/4998",8.46457602895044e-06,0.00014514258308465,0.000116617223928265,"LRRC38/KCNMA1/KCNA4/ABCC8/KCNMB1/KCNJ5/KCNQ3/KCNJ16/GRIK2/KCNJ2/LRRC55/KCNAB1/KCNIP3/KCNQ1/KCNAB2/KCNH2/KCNS2/KCNK17/ABCC9/KCNA3/KCNK3/PKD2L1/KCNQ4/KCNJ10/KCNIP4/KCNJ6/HCN2/KCNA6/KCNN2/KCNH4/KCNA7",31
"GO:0003823","GO:0003823","antigen binding","18/1816","22/4998",1.58901448308693e-05,0.00026468441246848,0.000212665096232687,"HLA-F/SLAMF1/LILRB4/HLA-B/HLA-A/HLA-DQA1/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DRB1/FCN3/TSPAN4/CD48/CD40/CD209/LAG3/TGFB1/SLC7A5",18
"GO:0019865","GO:0019865","immunoglobulin binding","13/1816","14/4998",1.74034537983733e-05,0.000275282326849895,0.000221180166919208,"FCGR2B/CD22/FCGR2C/FCGR2A/FCER1G/VWF/FCGR1A/CD4/FCGR1B/FCGRT/PIP/FCER2/FCGR3B",13
"GO:0015079","GO:0015079","potassium ion transmembrane transporter activity","38/1816","60/4998",1.74707480162026e-05,0.000275282326849895,0.000221180166919208,"LRRC38/SLC24A4/KCNMA1/KCNA4/ABCC8/KCNMB1/KCNJ5/KCNQ3/KCNJ16/ATP12A/GRIK2/SLC9A9/KCNJ2/LRRC55/KCNAB1/KCNIP3/KCNQ1/KCNAB2/KCNH2/KCNS2/KCNK17/ABCC9/KCNA3/KCNK3/FXYD2/PKD2L1/SLC12A2/KCNQ4/KCNJ10/KCNIP4/ATP1B2/KCNJ6/HCN2/KCNA6/KCNN2/SLC9A2/KCNH4/KCNA7",38
"GO:0030246","GO:0030246","carbohydrate binding","56/1816","98/4998",1.84332767677113e-05,0.000282805272515149,0.000227224602815278,"CLEC3B/CD22/MAG/SIGLEC7/PKD1L3/CLEC2B/SIGLEC9/ATRNL1/EVA1C/SIGLEC1/GALNT15/CLEC4A/REG3G/DBH/CD72/CD33/CD93/LGALS9/CD34/SIGLEC11/PRG2/CHI3L1/MRC1/HK3/ADGRL2/ENPP2/LAYN/LY75/FCN3/SBSPON/LGALSL/ENPP1/CD302/GCK/CLEC7A/VTN/SIGLEC10/CD209/FCER2/GALNT16/SIGLEC6/LGALS16/COL20A1/LMAN1/CALR/PFKP/LGALS13/LGALS14/GALNT8/CLC/HK2/GALNT5/ENG/SELL/ADGRL3/ZG16",56
"GO:0005249","GO:0005249","voltage-gated potassium channel activity","23/1816","31/4998",1.89963224346861e-05,0.000283970666139026,0.000228160957717552,"LRRC38/KCNMA1/KCNA4/ABCC8/KCNJ5/KCNQ3/KCNJ16/KCNJ2/LRRC55/KCNAB1/KCNQ1/KCNAB2/KCNH2/KCNS2/KCNA3/KCNK3/KCNQ4/KCNJ10/KCNJ6/HCN2/KCNA6/KCNH4/KCNA7",23
"GO:0008528","GO:0008528","G protein-coupled peptide receptor activity","25/1816","35/4998",2.43619489979142e-05,0.0003550754066446,0.000285291244843996,"HCRTR2/RAMP3/CMKLR1/FPR3/FPR1/GPR84/SSTR1/CCR9/F2RL3/CYSLTR1/FPR2/CYSLTR2/PTH2R/CCR10/AGTR1/RAMP2/EDNRA/CCR5/BDKRB2/GALR3/TACR3/GPR32/CCR7/CCRL2/F2RL2",25
"GO:0046906","GO:0046906","tetrapyrrole binding","28/1816","41/4998",3.00183179693405e-05,0.000426845838442086,0.000342956392717754,"CYP1A2/IDO1/IDO2/CYP1A1/GUCY1A2/HBB/TBXAS1/CYP2R1/HBG2/CYP24A1/TCN2/CYBB/CYP27A1/GUCY1B1/CUBN/CYP2E1/GUCY1A1/CYP46A1/CYP2U1/CYP19A1/CYP11A1/NOS3/CBS/CYP26A1/CYP26C1/CD320/HBZ/HBE1",28
"GO:0022843","GO:0022843","voltage-gated cation channel activity","33/1816","51/4998",3.2932631835275e-05,0.000457136294284888,0.000367293763576375,"LRRC38/KCNMA1/CACNA2D4/KCNA4/ABCC8/CACNB4/CACNA1H/KCNJ5/KCNQ3/KCNJ16/KCNJ2/LRRC55/GRIN2C/KCNAB1/KCNQ1/GAS6/KCNAB2/KCNH2/KCNS2/KCNA3/CACNA2D2/KCNK3/CACNA1C/HTR1B/CACNB1/KCNQ4/KCNJ10/CACNA1I/KCNJ6/HCN2/KCNA6/KCNH4/KCNA7",33
"GO:0008324","GO:0008324","cation transmembrane transporter activity","120/1816","248/4998",4.45665028467499e-05,0.000583974012167729,0.000469203638917828,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/GRIA4/KCNMA1/SLC30A8/SCN1B/SLC22A16/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CACNA1H/KCNMB1/ATP6V0D2/MCOLN3/KCNJ5/KCNQ3/KCNJ16/SLC30A4/ATP12A/GRIK2/SCN7A/PKD1L3/SLC5A9/SLC9A9/SLC17A4/KCNJ2/LRRC55/COX4I2/SCN11A/SLC25A48/RYR2/TRPC6/GRIN2C/ATP8A1/KCNAB1/KCNIP3/KCNQ1/GAS6/KCNAB2/KCNH2/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/NDUFA4L2/SLC1A7/KCNA3/CACNA2D2/NIPAL2/SLC22A18/KCNK3/JPH4/TRPM6/FXYD2/PKD2L1/CACNA1C/SLC8A1/SLC6A16/SLC12A2/SLC22A3/HTR1B/CACNB1/SLC28A1/CNGB1/SLC44A4/SLC2A6/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/ATP1B2/SLC6A6/SLC6A8/CACNA1I/SLC7A2/RHD/SLC2A12/SCNN1G/KCNJ6/JPH3/SLC4A4/SLC10A6/SLC6A19/SCNN1B/HCN2/TUSC3/SLC6A9/KCNA6/KCNN2/SLC9A2/SLC39A8/SLC6A13/ATP13A4/TF/TFR2/KCNH4/ANO1/SLC30A2/SLC25A47/PIEZO2/SLC38A3/TRPC5/ATP2C2/ASIC4/ABCB11/KCNA7/RHAG/P2RX2/SLC30A10",120
"GO:0048020","GO:0048020","CCR chemokine receptor binding","12/1816","13/4998",4.47906138534809e-05,0.000583974012167729,0.000469203638917828,"CCL13/CCL8/CCL2/CCL18/CCL3L1/CCL3L3/CCL4/CCL3/CCL4L1/CX3CL1/CCL5/CCRL2",12
"GO:0022890","GO:0022890","inorganic cation transmembrane transporter activity","112/1816","229/4998",4.5075181042106e-05,0.000583974012167729,0.000469203638917828,"SCN1A/MCOLN2/TRPA1/LRRC38/SLC24A4/GRIA4/KCNMA1/SLC30A8/SCN1B/CACNA2D4/PDE2A/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CACNA1H/KCNMB1/ATP6V0D2/MCOLN3/KCNJ5/KCNQ3/KCNJ16/SLC30A4/ATP12A/GRIK2/SCN7A/PKD1L3/SLC5A9/SLC9A9/SLC17A4/KCNJ2/LRRC55/COX4I2/SCN11A/RYR2/TRPC6/GRIN2C/ATP8A1/KCNAB1/KCNIP3/KCNQ1/GAS6/KCNAB2/KCNH2/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/NDUFA4L2/SLC1A7/KCNA3/CACNA2D2/NIPAL2/SLC22A18/KCNK3/JPH4/TRPM6/FXYD2/PKD2L1/CACNA1C/SLC8A1/SLC6A16/SLC12A2/SLC22A3/HTR1B/CACNB1/SLC28A1/CNGB1/SLC2A6/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/ATP1B2/SLC6A6/SLC6A8/CACNA1I/SLC2A12/SCNN1G/KCNJ6/JPH3/SLC4A4/SLC10A6/SLC6A19/SCNN1B/HCN2/TUSC3/SLC6A9/KCNA6/KCNN2/SLC9A2/SLC39A8/SLC6A13/ATP13A4/TF/TFR2/KCNH4/ANO1/SLC30A2/PIEZO2/TRPC5/ATP2C2/ASIC4/ABCB11/KCNA7/P2RX2/SLC30A10",112
"GO:0001653","GO:0001653","peptide receptor activity","25/1816","36/4998",5.23255344004922e-05,0.000649059288414616,0.000521497487306137,"HCRTR2/RAMP3/CMKLR1/FPR3/FPR1/GPR84/SSTR1/CCR9/F2RL3/CYSLTR1/FPR2/CYSLTR2/PTH2R/CCR10/AGTR1/RAMP2/EDNRA/CCR5/BDKRB2/GALR3/TACR3/GPR32/CCR7/CCRL2/F2RL2",25
"GO:0020037","GO:0020037","heme binding","25/1816","36/4998",5.23255344004922e-05,0.000649059288414616,0.000521497487306137,"CYP1A2/IDO1/IDO2/CYP1A1/GUCY1A2/HBB/TBXAS1/CYP2R1/HBG2/CYP24A1/CYBB/CYP27A1/GUCY1B1/CYP2E1/GUCY1A1/CYP46A1/CYP2U1/CYP19A1/CYP11A1/NOS3/CBS/CYP26A1/CYP26C1/HBZ/HBE1",25
"GO:0005044","GO:0005044","scavenger receptor activity","16/1816","20/4998",8.17242550151421e-05,0.000992609180704747,0.000797528365827593,"STAB2/CXCL16/CFI/CD163L1/CD163/CD36/MARCO/MSR1/ENPP2/STAB1/SBSPON/ENPP1/VTN/SCARB1/DMBT1/TMPRSS2",16
"GO:0038024","GO:0038024","cargo receptor activity","23/1816","33/4998",9.62693262445155e-05,0.00114540851429699,0.000920297533379364,"STAB2/CXCL16/CFI/FOLR2/CD163L1/CD163/CD36/MARCO/CUBN/MRC1/MSR1/FPR2/ENPP2/STAB1/LRP6/SBSPON/ENPP1/VTN/SCARB1/LRP8/DMBT1/TFR2/TMPRSS2",23
"GO:0001530","GO:0001530","lipopolysaccharide binding","11/1816","12/4998",0.000114609489391369,0.00133634664630336,0.00107370995324546,"TLR2/ADGRB1/TLR4/CD14/CAMP/TREM2/PTAFR/LY96/SCARB1/LTF/LBP",11
"GO:0004497","GO:0004497","monooxygenase activity","20/1816","28/4998",0.000163759574082311,0.00187199669980368,0.00150408690333599,"CYP1A2/CYP1A1/CH25H/TBXAS1/CYP2R1/AKR1C3/DBH/CYP24A1/CYP27A1/FMO1/CYP2E1/CYP46A1/AKR1C1/CYP2U1/CYP19A1/CYP11A1/NOS3/CYP26A1/CYP26C1/AKR1D1",20
"GO:0015276","GO:0015276","ligand-gated ion channel activity","30/1816","48/4998",0.000191100699111633,0.00210210769022797,0.00168897340823588,"MCOLN2/TRPA1/GRIA4/GLRB/GRID1/ABCC8/P2RX5/CLCA2/MCOLN3/KCNJ5/KCNJ16/GRIK2/KCNJ2/RYR2/GRIN2C/GABRA4/KCNH2/TRPM2/JPH4/CNGB1/KCNJ10/RASA3/GABRA2/CALM1/SCNN1G/KCNJ6/JPH3/SCNN1B/HCN2/P2RX2",30
"GO:0022834","GO:0022834","ligand-gated channel activity","30/1816","48/4998",0.000191100699111633,0.00210210769022797,0.00168897340823588,"MCOLN2/TRPA1/GRIA4/GLRB/GRID1/ABCC8/P2RX5/CLCA2/MCOLN3/KCNJ5/KCNJ16/GRIK2/KCNJ2/RYR2/GRIN2C/GABRA4/KCNH2/TRPM2/JPH4/CNGB1/KCNJ10/RASA3/GABRA2/CALM1/SCNN1G/KCNJ6/JPH3/SCNN1B/HCN2/P2RX2",30
"GO:0005506","GO:0005506","iron ion binding","27/1816","42/4998",0.000202797448039607,0.00218946133716835,0.00175915914966131,"CYP1A2/CYP1A1/CH25H/TBXAS1/CYP2R1/CYP24A1/CYP27A1/AOX1/CYP2E1/ALOX15B/CYP46A1/HAAO/CYP2U1/FTL/CYP19A1/ALOXE3/CDO1/CALR/CYP11A1/LCN2/FDX1/CYP26A1/CYP26C1/TF/LTF/HEPH/HBZ",27
"GO:0004252","GO:0004252","serine-type endopeptidase activity","29/1816","47/4998",0.000335833775607233,0.00355983802143667,0.00286021110325777,"MMP1/CFI/C1QA/C1QB/C2/C1R/PRSS36/CFD/CTSG/CTSS/C1QC/MMP9/PRSS23/TLL1/MMP7/C1RL/FCN3/HGF/C1S/F3/HTRA1/PRSS8/OVCH2/PRSS57/RHBDL3/PRSS41/LTF/TMPRSS2/TMPRSS11E",29
"GO:0004175","GO:0004175","endopeptidase activity","59/1816","113/4998",0.000353893232507892,0.00368428133128752,0.00296019715161677,"MMP1/CFI/C1QA/CLCA2/MMP28/ADAMTS2/C1QB/C2/CAPNS2/C1R/PRSS36/ADAMTS8/CFD/ADAMDEC1/CASP5/CTSG/CTSS/C1QC/MMP9/ADAMTS17/PSMB9/PSMB8/CASP1/ACE/PRSS23/TLL1/ADAMTS18/MEP1A/MMP7/C1RL/FCN3/PIP/HGF/NRIP3/MMP17/USP2/C1S/ADAMTS5/CASP10/ADAMTS14/F3/CAPN6/HTRA1/ECE2/PDIA3/PRSS8/OVCH2/PRSS57/CTSW/PAPPA2/RHBDL3/CLC/ADAM29/CASP14/PRSS41/LTF/TMPRSS2/TMPRSS11E/CTSE",59
"GO:0017171","GO:0017171","serine hydrolase activity","34/1816","58/4998",0.000423132429994263,0.00432782818748518,0.00347726558351702,"MMP1/CFI/C1QA/C1QB/C2/C1R/PRSS36/CFD/CTSG/CTSS/C1QC/MMP9/ACE/PRSS23/TLL1/MMP7/C1RL/FCN3/HGF/C1S/F3/HTRA1/ACHE/PRSS8/OVCH2/PRSS57/RHBDL3/AADAC/SEC11C/PRSS41/LTF/TMPRSS2/TMPRSS11E/RELN",34
"GO:0005520","GO:0005520","insulin-like growth factor binding","11/1816","13/4998",0.000498613304849753,0.0048448592787901,0.00389268281856386,"IGFBPL1/IGFBP4/IGFBP2/IGFBP5/IGFBP7/HTRA1/WISP1/ESM1/INSR/ITGB3/NOV",11
"GO:0071813","GO:0071813","lipoprotein particle binding","11/1816","13/4998",0.000498613304849753,0.0048448592787901,0.00389268281856386,"STAB2/MAPT/CRP/LIPC/CD36/APOE/MSR1/STAB1/SCARB1/LRP8/APOA2",11
"GO:0071814","GO:0071814","protein-lipid complex binding","11/1816","13/4998",0.000498613304849753,0.0048448592787901,0.00389268281856386,"STAB2/MAPT/CRP/LIPC/CD36/APOE/MSR1/STAB1/SCARB1/LRP8/APOA2",11
"GO:0015081","GO:0015081","sodium ion transmembrane transporter activity","37/1816","65/4998",0.000531850871192218,0.00508309930991906,0.00408410073650624,"SCN1A/SLC24A4/SCN1B/NALCN/SCN9A/SCN2A/ATP12A/GRIK2/SCN7A/SLC5A9/SLC9A9/SLC17A4/SCN11A/SCN4B/TRPM2/SLC1A7/FXYD2/PKD2L1/SLC8A1/SLC6A16/SLC12A2/SLC22A3/SLC28A1/ATP1B2/SLC6A6/SLC6A8/SCNN1G/SLC4A4/SLC10A6/SLC6A19/SCNN1B/HCN2/SLC6A9/SLC9A2/SLC6A13/ASIC4/ABCB11",37
"GO:0015077","GO:0015077","monovalent inorganic cation transmembrane transporter activity","73/1816","147/4998",0.000541593600593824,0.0050927269217129,0.00409183620143042,"SCN1A/LRRC38/SLC24A4/KCNMA1/SCN1B/NALCN/KCNA4/ABCC8/SCN9A/SCN2A/KCNMB1/ATP6V0D2/KCNJ5/KCNQ3/KCNJ16/ATP12A/GRIK2/SCN7A/SLC5A9/SLC9A9/SLC17A4/KCNJ2/LRRC55/COX4I2/SCN11A/KCNAB1/KCNIP3/KCNQ1/KCNAB2/KCNH2/SCN4B/TRPM2/KCNS2/KCNK17/ABCC9/NDUFA4L2/SLC1A7/KCNA3/SLC22A18/KCNK3/FXYD2/PKD2L1/SLC8A1/SLC6A16/SLC12A2/SLC22A3/SLC28A1/SLC2A6/KCNQ4/KCNJ10/KCNIP4/CLCN4/ATP1B2/SLC6A6/SLC6A8/SLC2A12/SCNN1G/KCNJ6/SLC4A4/SLC10A6/SLC6A19/SCNN1B/HCN2/SLC6A9/KCNA6/KCNN2/SLC9A2/SLC6A13/KCNH4/ATP2C2/ASIC4/ABCB11/KCNA7",73
"GO:0030594","GO:0030594","neurotransmitter receptor activity","17/1816","24/4998",0.000606571873576742,0.00561319686182922,0.00451001643678614,"HTR1F/GRIA4/GLRB/GRID1/HTR2B/GRIK2/GRIN2C/GABRA4/HRH2/GABBR1/HTR1B/HTR7/GABRA2/HTR4/CHRM4/HTR1D/DRD2",17
